On comprar?	Moda i complements	Roba i complements	bolsosbelofmay@gmail.com	http://maps.google.com/maps?layer=c&cbll=41.318462,2.014024&cbp=12,242.85,,0,-2	Carrer del Doctor Reig, 61	L'Eixample Centre
On comprar?	Esports	Articles esportius: roba i complements	barroso@barrosoesports.com	http://maps.google.com/maps?layer=c&cbll=41.315752,2.017589&cbp=12,242.85,,0,-2	Carrer de Pi i Margall, 30-32	Barri Antic
On menjar?	Bars	Bars	info@grupolancaster.com	http://maps.google.com/maps?layer=c&cbll=41.316500,2.026967&cbp=12,242.85,,0,-2	Carrer de Jaume I, 39-41	Barri de Sales
On comprar?	Alimentació	Xarcuteries	contacta@xarcuteria-olive.com	http://maps.google.com/maps?layer=c&cbll=41.316881,2.019442&cbp=12,242.85,,0,-2	Carrer d’Àngel Guimerà , 15	Barri Antic
On comprar?	Productes per la llar	Floristeries i Jardineria	floristeriaraquel@floristeriaraquel.com	http://maps.google.com/maps?layer=c&cbll=41.315645,2.017441&cbp=12,242.85,,0,-2	Carrer de Pi i Margall, 25	Barri Antic
On menjar?	Restaurants	Restaurants	peribet@hotmail.com	http://maps.google.com/maps?layer=c&cbll=41.317126,2.019242&cbp=12,242.85,,0,-2	Carrer d’Àngel Guimerà , 23	Barri Antic
On comprar?	Alimentació	Forns de pa i pastisseries	info@bakerybynoelia.com	http://maps.google.com/maps?layer=c&cbll=41.317910,2.020100&cbp=12,242.85,,0,-2	Rambla Modolell, 32	La Torre-roja-Campreciós
On menjar?	Restaurants	Restaurants	calmingo@calmingo.net	http://maps.google.com/maps?layer=c&cbll=41.323134,2.030550&cbp=12,242.85,,0,-2	Carretera de Barcelona (C-245), 86	Barri de Sales
On menjar?	Restaurants	Restaurants	elpetitluxemburg@gmail.com	http://maps.google.com/maps?layer=c&cbll=41.310552,2.004226&cbp=12,242.85,,0,-2	Carrer de Rosa Luxemburg, 11	Can Palmer-Can Batllori
Què fer?	Oci nocturn	Bar de copes	tropicalmanaoshp@gmail.com	http://maps.google.com/maps?layer=c&cbll=41.317967,2.019468&cbp=12,242.85,,0,-2	Rambla Modolell, 33	La Torre-roja-Campreciós
On comprar?	Alimentació	Aviram i Carnisseries	houcin-n@hotmail.es	http://maps.google.com/maps?layer=c&cbll=41.318126,2.013139&cbp=12,242.85,,0,-2	Carrer d’Àngel Arañó, 63	L'Eixample Centre
On comprar?	Moda i complements	Roba i complements	secretsvila@gmail.com	http://maps.google.com/maps?layer=c&cbll=41.318471,2.018889&cbp=12,242.85,,0,-2	Rambla Modolell, 51	La Torre-roja-Campreciós
On menjar?	Cafeteria-Granja	Cafeteria-Granja		http://maps.google.com/maps?layer=c&cbll=41.310552,2.004226&cbp=12,242.85,,0,-2	Carrer de Rosa Luxemburg, 11	Can Palmer-Can Batllori
On comprar?	Moda i complements	Roba i complements	ataliasanchezbenitez@gmail.com	http://maps.google.com/maps?layer=c&cbll=41.320709,2.011132&cbp=12,242.85,,0,-2	Carrer del Doctor Reig, 81	La Montserratina
On menjar?	Restaurants	Restaurants	alacazuelaviladecans@hotmail.com	http://maps.google.com/maps?layer=c&cbll=41.315498,2.024574&cbp=12,242.85,,0,-2	Passeig de la Marina, 23	Barri de Sales
Qui m'ajuda?	Automoció: reparació i lloger de vehicles, garatges, etc.	Taller mecànics	taller@pneumaticslligadas.com	http://maps.google.com/maps?layer=c&cbll=41.310756,2.017206&cbp=12,242.85,,0,-2	Carrer de l’Agricultura, 12	Can Sellarès
On comprar?	Alimentació	Fruites i Verdures	cozinera@hotmail.es	http://maps.google.com/maps?layer=c&cbll=41.321168,2.014966&cbp=12,242.85,,0,-2	Carrer de Salvador Baroné, 13	L'Eixample Centre
On menjar?	Forn de pa-degustació	Forn de pa-degustació	liz-noemi@hotmail.com	http://maps.google.com/maps?layer=c&cbll=41.320394,2.025668&cbp=12,242.85,,0,-2	Passatge del Xaloc, 16	La Torre-roja-Campreciós
On Trobar serveis per la meva llar?..	Reformes, serveis i instal·lacions per la llar	Reformes, serveis i instal·lacions per la llar	85integral@electrocalbet.net	http://maps.google.com/maps?layer=c&cbll=41.315653,2.014085&cbp=12,242.85,,0,-2	Carrer de Jaume Abril, 56-58	L'Eixample Centre
